Symbol,Name
CLFEUR=X,CLF/EUR
EURDZD=X,EUR/DZD
NZDSEK=X,NZD/SEK
CADMGA=X,CAD/MGA
CHFRSD=X,CHF/RSD
11667427.SW,11667427.SW
CHFBIF=X,CHF/BIF
CNH=X,USD/CNH
CZKVUV=X,CZK/VUV
CHFCLP=X,CHF/CLP
CHFAZN=X,CHF/AZN
CNYKES=X,CNY/KES
CZKMYR=X,CZK/MYR
CHFILS=X,CHF/ILS
CNYSEK=X,CNY/SEK
CZKINR=X,CZK/INR
CHFKYD=X,CHF/KYD
CHFUYU=X,CHF/UYU
CHFARS=X,CHF/ARS
CNYUGX=X,CNY/UGX
EUR-ILS.F,EUR-ILS.F
CADMOP=X,CAD/MOP
CZKARS=X,CZK/ARS
CHFUGX=X,CHF/UGX
CADTRY=X,CAD/TRY
CHFAMD=X,CHF/AMD
CADTTD=X,CAD/TTD
CADYER=X,CAD/YER
CADBMD=X,CAD/BMD
CADVEF=X,CAD/VEF
CHFVEF=X,CHF/VEF
CHFCUP=X,CHF/CUP
CHFTJS=X,CHF/TJS
CHFPGK=X,CHF/PGK
CADPYG=X,CAD/PYG
CZKKES=X,CZK/KES
CZKISK=X,CZK/ISK
EUR-MNT.F,EUR-MNT.F
CHFPAB=X,CHF/PAB
CNHINR=X,CNH/INR
CZKVEF=X,CZK/VEF
CADSHP=X,CAD/SHP
CZKJOD=X,CZK/JOD
CHFEGP=X,CHF/EGP
CADBTN=X,CAD/BTN
CADPAB=X,CAD/PAB
CZKBAM=X,CZK/BAM
CHFKHR=X,CHF/KHR
CNYMXN=X,CNY/MXN
CADBIF=X,CAD/BIF
CHFGBP=X,CHF/GBP
CZKBND=X,CZK/BND
CZKJPY=X,CZK/JPY
CADUAH=X,CAD/UAH
CHFRUB=X,CHF/RUB
CADBDT=X,CAD/BDT
CHFDZD=X,CHF/DZD
CHFNPR=X,CHF/NPR
CNYGBP=X,CNY/GBP
CHFDEM=X,CHF/DEM
CNYMUR=X,CNY/MUR
CNYJOD=X,CNY/JOD
CLPJPY=X,CLP/JPY
CNYDKK=X,CNY/DKK
CADAWG=X,CAD/AWG
CHFBZD=X,CHF/BZD
CHFBRL=X,CHF/BRL
CNHGBP=X,CNH/GBP
CHFXAF=X,CHF/XAF
CUPUSD=X,CUP/USD
CADSZL=X,CAD/SZL
CADPGK=X,CAD/PGK
CHFSYP=X,CHF/SYP
NOKNZD=X,NOK/NZD
CADFKP=X,CAD/FKP
CHFNOK=X,CHF/NOK
CADKMF=X,CAD/KMF
CADCNY=X,CAD/CNY
CHFLYD=X,CHF/LYD
RSO.PA,RSO.PA
CHFLRD=X,CHF/LRD
ZARNZD=X,ZAR/NZD
CADMMK=X,CAD/MMK
CZKNZD=X,CZK/NZD
CHFMOP=X,CHF/MOP
CHFKGS=X,CHF/KGS
CHFMGA=X,CHF/MGA
CNYXDR=X,CNY/XDR
CNYLVL=X,CNY/LVL
CHFHKD=X,CHF/HKD
CADXCD=X,CAD/XCD
CHFOMR=X,CHF/OMR
CADMRO=X,CAD/MRO
CADNOK=X,CAD/NOK
CHFHUF=X,CHF/HUF
CADAOA=X,CAD/AOA
CADSLL=X,CAD/SLL
EURILS=X,EUR/ILS
CNYKRW=X,CNY/KRW
CADFJD=X,CAD/FJD
CLPBRL=X,CLP/BRL
CZKTHB=X,CZK/THB
CADBSD=X,CAD/BSD
EUR-GEL.F,EUR-GEL.F
CHFFJD=X,CHF/FJD
CADANG=X,CAD/ANG
CHFCAD=X,CHF/CAD
CHFMVR=X,CHF/MVR
CZKBHD=X,CZK/BHD
CADZMW=X,CAD/ZMW
CNHSGD=X,CNH/SGD
CADBND=X,CAD/BND
CHFBWP=X,CHF/BWP
CZKTND=X,CZK/TND
CADPHP=X,CAD/PHP
CADSEK=X,CAD/SEK
CNYCAD=X,CNY/CAD
CHFSHP=X,CHF/SHP
CUPEUR=X,CUP/EUR
CNYZAR=X,CNY/ZAR
CHFGHS=X,CHF/GHS
CZK=X,USD/CZK
CHFJOD=X,CHF/JOD
