Ticker,Name,Exchange
^NQNDMVT,NASDAQ Nordea SmartBeta Momentu,STO
^SX3720GI,OMX Stockholm Hhld Goods & Hme,STO
^SX3780PI,OMX Stockholm Tobacco PI,STO
^B6000PI,OMX Baltic Telecommunications P,STO
^B7000PI,OMX Baltic Utilities PI,STO
^B8300GI,OMX Baltic Banks GI,STO
^B4500PI,OMX Baltic Health Care PI,STO
^N2000EURPI,N Industrials EUR PI,STO
^SX2790PI,OMX Stockholm Support Services,STO
^SX2770PI,OMX Stockholm Industrial Transp,STO
^N4000EURPI,N Health Care EUR PI,STO
^N3700EURGI,N Personal & Household Goods EU,STO
^SX4500PI,OMX Stockholm Health Care PI,STO
^SX5700PI,OMX Stockholm Travel & Leisure,STO
^N3000EURGI,N Consumer Goods EUR GI,STO
^SX0580GI,OMX Stockholm Alternative Energ,STO
^N3000EURPI,N Consumer Goods EUR PI,STO
^SX1700PI,OMX Stockholm Basic Resources P,STO
^N0500EURPI,N Oil & Gas EUR PI,STO
^SX3700PI,OMX Stockholm Personal & Househ,STO
^N7000EURPI,N Utilities EUR PI,STO
^SX3740PI,OMX Stockholm Leisure Goods PI,STO
^SX5300PI,OMX Stockholm Retail PI,STO
^SX9000GI,OMX Stockholm Technology GI,STO
^SX8600PI,OMX Stockholm Real Estate PI,STO
^N8600EURPI,N Real Estate EUR PI,STO
^SX2720PI,OMX Stockholm General Industria,STO
^SX8000PI,OMX Stockholm Financials PI,STO
^N4500EURPI,N Health Care EUR PI,STO
^SX8700GI,OMX Stockholm Financial Service,STO
^SX4500GI,OMX Stockholm Health Care GI,STO
^SX8770PI,OMX Stockholm Financial Service,STO
^B3300PI,OMX Baltic Automobiles & Parts,STO
^B9500GI,OMX Baltic Technology GI,STO
^B5700PI,OMX Baltic Travel & Leisure PI,STO
^SX6000GI,OMX Stockholm Telecommunication,STO
^N0001EURPI,N Oil & Gas EUR PI,STO
^SX5700GI,OMX Stockholm Travel & Leisure,STO
^SX3760GI,OMX Stockholm Personal Goods GI,STO
^B9500PI,OMX Baltic Technology PI,STO
^B1000PI,OMX Baltic Basic Materials PI,STO
^NQNDDIT,Nasdaq Nordea SmartBeta Dividen,STO
^SX2730PI,OMX Stockholm Electronic & Elec,STO
^N8300EURPI,N Banks EUR PI,STO
^SX3740GI,OMX Stockholm Leisure Goods GI,STO
^SX5500GI,OMX Stockholm Media GI,STO
^TMT,ABG TMT Nordic Index,STO
^NQNDDVT,NASDAQ Nordea SmartBeta Dividen,STO
^NQNDVOT,Nasdaq Nordea SmartBeta Volatil,STO
